City,Latitude,Longitude,Country Code,Max Temp,Humidity,Cloudiness,Wind Speed (mph),Date,Time
Bethel,60.79,-161.76,US,35.6,64,1,19.46,04/01/2018,08:53:00
Yeniseysk,58.45,92.17,RU,23.71,68,32,6.62,04/01/2018,09:40:23
Albany,42.65,-73.75,US,30.2,54,40,3.15,04/01/2018,08:54:00
Biak,-0.91,122.88,ID,84.01,88,36,2.71,04/01/2018,09:40:32
Busselton,-33.64,115.35,AU,69.58,95,0,14.54,04/01/2018,09:29:43
Butaritari,3.07,172.79,KI,83.83,98,32,10.76,04/01/2018,09:40:33
Hermanus,-34.42,19.24,ZA,54.76,90,0,2.26,04/01/2018,09:40:34
Castro,-42.48,-73.76,CL,43.33,98,0,3.49,04/01/2018,09:40:35
Yulara,-25.24,130.99,AU,96.8,13,0,12.75,04/01/2018,09:00:00
Ribeira Grande,38.52,-28.7,PT,61.87,98,32,23.29,04/01/2018,09:40:27
Rikitea,-23.12,-134.97,PF,79.33,100,0,7.18,04/01/2018,09:40:36
Lebu,8.96,38.73,ET,66.1,44,0,4.16,04/01/2018,09:40:37
Hithadhoo,-0.6,73.08,MV,85.99,98,88,8.08,04/01/2018,09:40:03
Punta Arenas,-53.16,-70.91,CL,48.2,87,90,14.99,04/01/2018,09:00:00
Juxtlahuaca,17.43,-99.15,MX,54.13,94,0,1.81,04/01/2018,09:40:29
Jamestown,-33.21,138.6,AU,73.57,37,0,11.21,04/01/2018,09:37:30
Geraldton,49.72,-86.95,CA,15.8,85,75,6.93,04/01/2018,09:00:00
Saint-Philippe,45.36,-73.48,CA,32,50,90,6.93,04/01/2018,09:00:00
Erenhot,43.65,111.97,CN,48.37,53,88,17.02,04/01/2018,09:40:31
Dingle,11,122.67,PH,80.68,89,44,5.17,04/01/2018,09:40:31
Aitape,-3.15,142.36,PG,80.14,100,76,6.4,04/01/2018,09:40:32
Ouesso,1.61,16.05,CG,70.87,100,92,2.93,04/01/2018,09:40:32
Namatanai,-3.66,152.44,PG,86.26,91,32,7.85,04/01/2018,09:40:32
Saint George,39.45,22.34,GR,46.4,65,0,3.36,04/01/2018,09:20:00
Nuqui,5.71,-77.27,CO,75.19,100,64,4.61,04/01/2018,09:40:33
Kapaa,22.08,-159.32,US,77,78,1,6.93,04/01/2018,08:56:00
Tafresh,34.69,50.01,IR,55.84,42,8,3.04,04/01/2018,09:40:42
Salalah,17.01,54.1,OM,80.6,69,20,4.7,04/01/2018,08:50:00
Gazli,40.13,63.45,UZ,56.2,62,32,13.78,04/01/2018,09:40:43
Zaidpur,26.83,81.33,IN,86,51,0,6.93,04/01/2018,09:00:00
Tuatapere,-46.13,167.69,NZ,61.96,82,36,17.81,04/01/2018,09:30:18
Takoradi,4.89,-1.75,GH,79.87,100,20,9.42,04/01/2018,09:40:36
Esperance,10.24,-61.45,TT,73.4,83,20,6.17,04/01/2018,09:00:00
Bredasdorp,-34.53,20.04,ZA,68,88,88,4.7,04/01/2018,09:00:00
Puerto Ayora,-0.74,-90.35,EC,76,100,8,4.72,04/01/2018,09:40:45
Tias,28.96,-13.65,ES,57.2,82,44,4.7,04/01/2018,09:30:00
Vaini,15.34,74.49,IN,89.41,46,0,3.38,04/01/2018,09:40:46
Faanui,-16.48,-151.75,PF,81.85,100,80,13.89,04/01/2018,09:40:38
Sitka,37.17,-99.65,US,35.5,63,56,10.42,04/01/2018,09:40:47
Necochea,-38.55,-58.74,AR,57.64,100,88,5.5,04/01/2018,09:40:39
Airai,-8.93,125.41,TL,80.95,73,32,0.58,04/01/2018,09:40:39
Yellowknife,62.45,-114.38,CA,1.4,59,20,5.82,04/01/2018,09:00:00
Fortuna,38.18,-1.13,ES,55.4,37,0,5.82,04/01/2018,09:30:00
Waddan,29.16,16.14,LY,53.95,80,92,10.31,04/01/2018,09:40:49
Petatlan,17.52,-101.27,MX,76.27,97,12,4.16,04/01/2018,09:40:41
Dunedin,-45.87,170.5,NZ,66.19,48,44,13.44,04/01/2018,09:36:55
Dorado,18.46,-66.27,PR,77,78,40,4.7,04/01/2018,08:56:00
Coihaique,-45.58,-72.07,CL,50.44,84,76,4.27,04/01/2018,09:40:42
Aliwal North,-30.69,26.71,ZA,59.98,91,12,3.94,04/01/2018,09:40:43
Avarua,-21.21,-159.78,CK,82.4,78,75,8.05,04/01/2018,09:00:00
Mataura,-46.19,168.86,NZ,66.1,52,56,17.69,04/01/2018,09:30:17
Thinadhoo,0.53,72.93,MV,86.17,98,24,8.63,04/01/2018,09:40:43
Chuy,-33.69,-53.46,UY,67.36,94,0,13.78,04/01/2018,09:39:57
Shaoyang,27.23,111.45,CN,78.07,82,32,5.95,04/01/2018,09:40:44
Calatayud,41.35,-1.64,ES,48.2,65,0,1.12,04/01/2018,09:30:00
Jinchang,38.52,102.19,CN,54.31,68,0,4.38,04/01/2018,09:40:53
Muisne,0.61,-80.02,EC,69.61,95,36,2.04,04/01/2018,09:40:53
Karratha,-20.74,116.85,AU,102.01,25,24,7.74,04/01/2018,09:40:46
Grindavik,63.84,-22.43,IS,37.4,80,90,14.99,04/01/2018,09:00:00
Nombre De Dios,23.85,-104.24,MX,56.83,36,0,8.19,04/01/2018,09:40:46
Chegutu,-18.13,30.15,ZW,61.96,71,0,9.31,04/01/2018,09:40:47
Salinas,36.67,-121.66,US,57.2,67,1,10.29,04/01/2018,08:55:00
Ust-Maya,60.42,134.54,RU,33.52,51,92,11.77,04/01/2018,09:40:48
Manggar,-2.88,108.27,ID,82.57,97,48,8.41,04/01/2018,09:40:57
Teahupoo,-17.83,-149.27,PF,84.2,66,40,5.82,04/01/2018,09:08:00
Paamiut,61.99,-49.67,GL,33.97,82,8,10.2,04/01/2018,09:40:58
Severo-Kurilsk,50.68,156.12,RU,28.93,100,68,4.72,04/01/2018,09:40:58
Hilo,19.71,-155.08,US,77,78,20,11.41,04/01/2018,08:53:00
Puerto Escondido,15.86,-97.07,MX,82.39,100,8,8.41,04/01/2018,09:40:59
Mugumu,-1.84,34.67,TZ,65.74,91,20,3.71,04/01/2018,09:40:52
Nanortalik,60.14,-45.24,GL,33.97,98,0,34.25,04/01/2018,09:41:00
Rosetta,31.4,30.42,EG,50,100,0,6.93,04/01/2018,09:00:00
Tautira,-17.73,-149.15,PF,84.2,66,40,5.82,04/01/2018,09:08:00
Oranjemund,-28.55,16.43,ZA,62.14,98,92,9.98,04/01/2018,09:40:54
Fuxin,42.02,121.65,CN,72.4,43,48,5.95,04/01/2018,09:40:54
Hofn,64.25,-15.21,IS,30.01,100,88,6.96,04/01/2018,09:41:03
Miramar,10.09,-84.73,CR,69.8,60,0,12.75,04/01/2018,09:00:00
Whithorn,18.26,-78.04,JM,77,73,20,2.24,04/01/2018,09:00:00
Cabo San Lucas,22.89,-109.91,MX,77,14,20,4.7,04/01/2018,08:51:00
Ushuaia,-54.81,-68.31,AR,48.2,81,75,3.36,04/01/2018,09:00:00
Waipawa,-39.94,176.59,NZ,64.93,51,0,12.33,04/01/2018,09:41:05
Cidreira,-30.17,-50.22,BR,68.98,99,92,9.98,04/01/2018,09:40:58
Vestmannaeyjar,63.44,-20.27,IS,36.94,99,92,11.1,04/01/2018,09:40:58
Buin,-33.73,-70.74,CL,59,72,0,8.05,04/01/2018,09:00:00
Victoria,5.28,115.24,BN,87.8,74,75,2.24,04/01/2018,09:00:00
Vanavara,60.35,102.28,RU,15.43,47,64,9.75,04/01/2018,09:40:59
Beaverlodge,55.21,-119.43,CA,1.4,59,20,5.82,04/01/2018,09:00:00
Laiyang,36.98,120.7,CN,81.76,41,0,14.79,04/01/2018,09:41:08
Manbij,36.53,37.96,SY,39.2,93,0,1.12,04/01/2018,08:50:00
Rabo De Peixe,37.8,-25.58,PT,60.8,93,75,11.41,04/01/2018,09:00:00
Panguna,-6.32,155.48,PG,81.85,86,0,2.93,04/01/2018,09:41:09
Atar,20.52,-13.05,MR,55.93,49,0,4.94,04/01/2018,09:41:01
Tasiilaq,65.61,-37.64,GL,14.62,96,24,8.63,04/01/2018,09:41:02
Birigui,-21.29,-50.34,BR,70.33,98,92,2.93,04/01/2018,09:41:02
Provideniya,64.42,-173.23,RU,32,100,75,4.47,04/01/2018,09:00:00
Nahavand,34.19,48.37,IR,41,44,0,6.93,04/01/2018,08:50:00
Hot Springs,34.5,-93.06,US,53.6,93,90,6.93,04/01/2018,08:53:00
Adelaide,-34.93,138.6,AU,69.8,49,20,19.46,04/01/2018,09:00:00
Homer,59.64,-151.54,US,44.6,33,1,8.05,04/01/2018,08:53:00
Isangel,-19.55,169.27,VU,81.58,99,88,16.24,04/01/2018,09:41:05
Nome,30.04,-94.42,US,69.8,94,1,4.7,04/01/2018,09:15:00
Liverpool,53.41,-2.98,GB,37.4,93,90,16.11,04/01/2018,09:20:00
Cockburn Town,21.46,-71.14,TC,75.1,100,80,14.45,04/01/2018,09:38:28
Jalu,29.03,21.55,LY,62.05,49,0,14.79,04/01/2018,09:41:06
Ponta Do Sol,-20.63,-46,BR,64.84,98,76,1.7,04/01/2018,09:41:06
Hamilton,32.3,-64.78,BM,66.2,93,75,3.36,04/01/2018,08:55:00
Marsh Harbour,26.54,-77.06,BS,72.67,100,88,10.98,04/01/2018,09:41:07
Arraial Do Cabo,-22.97,-42.02,BR,76.72,88,48,16.02,04/01/2018,09:41:16
Nongan,44.43,125.17,CN,59,54,75,13.42,04/01/2018,09:00:00
Fare,-16.7,-151.02,PF,81.76,100,68,14.45,04/01/2018,09:41:09
Thompson,55.74,-97.86,CA,-16.61,62,5,3.36,04/01/2018,09:00:00
Likasi,-10.99,26.74,CD,67.9,98,68,10.2,04/01/2018,09:41:09
Sangar,63.92,127.47,RU,22.27,59,80,7.18,04/01/2018,09:41:10
Havelock,34.88,-76.9,US,60.8,87,1,5.82,04/01/2018,08:58:00
Dhidhdhoo,6.88,73.1,MV,82.48,100,20,1.92,04/01/2018,09:41:10
Lalsk,60.74,47.59,RU,23.53,72,8,6.62,04/01/2018,09:41:11
Tuy Hoa,13.08,109.3,VN,78.61,83,8,10.76,04/01/2018,09:41:11
Zabol,31.03,61.49,IR,57.2,47,0,26.4,04/01/2018,09:00:00
Alofi,-19.06,-169.92,NU,82.4,74,32,3.36,04/01/2018,09:00:00
Hobart,-42.88,147.33,AU,66.2,55,0,21.92,04/01/2018,09:00:00
Iwanai,42.97,140.51,JP,47.83,83,0,8.41,04/01/2018,09:41:12
Hargeysa,9.56,44.06,SO,72.67,66,0,7.74,04/01/2018,09:41:13
Kiama,-34.67,150.86,AU,80.59,46,0,2.93,04/01/2018,09:41:13
San Quintin,17.54,120.52,PH,86,55,20,9.17,04/01/2018,09:00:00
Manaus,-3.13,-59.98,BR,77,88,75,2.24,04/01/2018,09:00:00
Tabou,4.42,-7.36,CI,81.31,100,36,11.99,04/01/2018,09:41:14
Bilma,18.69,12.92,NE,59.89,37,20,2.82,04/01/2018,09:41:14
Kloulklubed,7.04,134.26,PW,84.2,83,90,5.82,04/01/2018,08:55:00
Ifakara,-8.13,36.68,TZ,70.24,100,92,3.49,04/01/2018,09:41:15
Lorengau,-2.02,147.27,PG,83.56,99,48,8.75,04/01/2018,09:41:24
Lata,30.78,78.62,IN,62.77,56,24,1.92,04/01/2018,09:41:25
Ballitoville,-29.54,31.21,ZA,70.69,90,12,4.16,04/01/2018,09:41:17
Hasaki,35.73,140.83,JP,71.6,56,40,12.75,04/01/2018,09:00:00
Egvekinot,66.32,-179.17,RU,25.24,97,0,2.37,04/01/2018,09:41:26
Lagoa,37.14,-8.45,PT,59,87,75,3.36,04/01/2018,09:00:00
Beira,43.2,-8.36,ES,51.8,93,40,4.7,04/01/2018,09:30:00
The Valley,18.22,-63.06,AI,77,65,20,8.05,04/01/2018,09:00:00
Ukiah,39.15,-123.21,US,60.8,44,1,11.41,04/01/2018,08:56:00
Point Pedro,9.82,80.23,LK,86.44,88,0,2.48,04/01/2018,09:41:28
Cabedelo,-6.97,-34.84,BR,77,94,75,4.7,04/01/2018,09:00:00
Kontagora,10.4,5.47,NG,69.52,62,0,4.72,04/01/2018,09:41:21
Touros,-5.2,-35.46,BR,77.35,99,88,7.07,04/01/2018,09:41:30
Waingapu,-9.65,120.26,ID,80.86,100,44,1.14,04/01/2018,09:41:22
Alta Floresta,-9.87,-56.08,BR,72.49,96,0,2.04,04/01/2018,09:41:22
Helong,25.94,116.13,CN,78.52,63,20,6.17,04/01/2018,09:41:23
Tjaereborg,55.46,8.58,DK,32,93,68,9.17,04/01/2018,09:20:00
Kahului,20.89,-156.47,US,77,78,40,6.93,04/01/2018,09:11:00
Pampa,35.54,-100.96,US,35.6,55,1,6.93,04/01/2018,09:15:00
Narodychi,51.2,29.09,UA,38.83,83,92,21.05,04/01/2018,09:41:24
Bambous Virieux,-20.34,57.76,MU,82.4,83,40,10.29,04/01/2018,09:00:00
Mar Del Plata,-46.43,-67.52,AR,54.76,80,0,11.43,04/01/2018,09:41:25
Shieli,44.18,66.74,KZ,48.91,69,0,15.79,04/01/2018,09:41:25
Cape Town,-33.93,18.42,ZA,59,93,0,4.7,04/01/2018,09:00:00
Port Elizabeth,39.31,-74.98,US,51.8,81,90,3.38,04/01/2018,08:56:00
Atuona,-9.8,-139.03,PF,78.16,100,32,14.79,04/01/2018,09:30:10
Bara,10.41,10.6,NG,75.82,35,44,6.17,04/01/2018,09:41:26
Masty,53.42,24.54,BY,33.8,98,90,20.13,04/01/2018,09:20:00
Atherton,53.52,-2.49,GB,37.4,86,90,9.17,04/01/2018,09:20:00
Vradiyivka,47.86,30.59,UA,42.43,88,36,13,04/01/2018,09:41:36
Mabaruma,8.2,-59.78,GY,76.72,92,92,6.73,04/01/2018,09:41:28
Lokosovo,61.13,74.84,RU,25.06,89,80,9.98,04/01/2018,09:41:28
Katsuura,33.93,134.5,JP,71.6,49,40,11.41,04/01/2018,09:00:00
Volksrust,-27.36,29.88,ZA,59.44,94,12,3.83,04/01/2018,09:41:29
Uporovo,56.31,66.27,RU,31.18,100,48,6.73,04/01/2018,09:41:30
Senador Jose Porfirio,-2.59,-51.95,BR,76.81,97,24,3.83,04/01/2018,09:41:30
Sinazongwe,-17.26,27.46,ZM,69.79,99,48,4.27,04/01/2018,09:41:30
Imbituba,-28.24,-48.67,BR,73.4,94,0,3.36,04/01/2018,09:00:00
Chamonix-Mont-Blanc,45.92,6.87,IT,35.6,100,0,3.36,04/01/2018,09:30:00
Ridgecrest,35.62,-117.67,US,69.8,28,1,3.36,04/01/2018,08:56:00
Okhotsk,59.36,143.24,RU,37.03,74,92,7.96,04/01/2018,09:41:41
Kalmunai,7.42,81.82,LK,86.62,80,20,6.62,04/01/2018,09:41:33
Lat Yao,15.75,99.79,TH,85.36,74,36,4.61,04/01/2018,09:41:33
Nuevitas,21.55,-77.27,CU,71.6,78,20,5.82,04/01/2018,08:50:00
Independence,39.09,-94.42,US,26.6,85,90,11.41,04/01/2018,09:35:00
Burgeo,47.61,-57.61,CA,35.77,91,88,21.94,04/01/2018,09:41:34
Luderitz,-26.65,15.16,NA,59,100,44,10.29,04/01/2018,09:00:00
Nishihara,35.74,139.53,JP,75.2,29,0,5.82,04/01/2018,09:00:00
Hay River,60.82,-115.79,CA,5,84,75,2.24,04/01/2018,09:00:00
Snina,48.99,22.16,SK,37.4,93,75,7.18,04/01/2018,09:00:00
Bathsheba,13.22,-59.52,BB,77,83,40,12.75,04/01/2018,09:00:00
Igrim,63.19,64.42,RU,27.13,76,0,4.38,04/01/2018,09:41:36
San Javier,37.81,-0.83,ES,55.4,37,0,5.82,04/01/2018,09:30:00
Port Alfred,-33.59,26.89,ZA,72.31,88,56,8.19,04/01/2018,09:40:06
Batemans Bay,-35.71,150.18,AU,72.22,72,0,8.3,04/01/2018,09:41:46
Chernyshevskiy,63.01,112.47,RU,6.79,54,32,11.43,04/01/2018,09:41:38
Sorong,-0.86,131.25,ID,84.37,98,48,11.54,04/01/2018,09:41:39
Mahebourg,-20.41,57.7,MU,82.4,83,40,10.29,04/01/2018,09:00:00
Nikolskoye,59.7,30.79,RU,33.8,93,90,8.95,04/01/2018,09:00:00
Poso,-1.4,120.75,ID,80.05,100,76,5.95,04/01/2018,09:41:40
Presidente Medici,-11.18,-61.9,BR,71.23,95,44,2.15,04/01/2018,09:41:48
Fallon,46.84,-105.12,US,26.6,68,90,13.87,04/01/2018,08:56:00
Sola,58.89,5.65,NO,28.4,85,0,3.36,04/01/2018,09:20:00
Ust-Karsk,52.71,118.82,RU,28.12,29,24,9.53,04/01/2018,09:41:41
Ixtapa,20.71,-105.21,MX,71.6,100,5,1.59,04/01/2018,08:42:00
Belmonte,40.36,-7.35,PT,45.67,91,92,5.61,04/01/2018,09:41:42
Gat,14.69,-16.54,SN,63.67,83,0,11.77,04/01/2018,09:41:43
Port Hardy,50.7,-127.42,CA,35.6,80,40,8.05,04/01/2018,09:00:00
Dakar,14.69,-17.45,SN,66.19,94,0,17.81,04/01/2018,09:41:43
Smithers,54.78,-127.17,CA,24.8,58,1,6.93,04/01/2018,09:00:00
Hambantota,6.12,81.12,LK,86.89,91,24,7.29,04/01/2018,09:41:44
Inhambane,-23.87,35.38,MZ,68,94,20,6.96,04/01/2018,09:00:00
Ponta Delgada,37.73,-25.67,PT,60.8,93,75,11.41,04/01/2018,09:00:00
Oyem,1.6,11.57,GA,70.69,97,92,2.71,04/01/2018,09:41:54
Olinda,-2.03,-79.75,EC,78.8,69,0,8.05,04/01/2018,09:00:00
Georgetown,6.8,-58.16,GY,75.46,88,64,5.28,04/01/2018,09:41:56
Lazaro Cardenas,28.39,-105.62,MX,64.75,45,92,3.15,04/01/2018,09:41:48
Iqaluit,63.75,-68.52,CA,10.4,85,90,5.82,04/01/2018,09:00:00
Jinxiang,35.07,116.31,CN,83.47,59,0,11.54,04/01/2018,09:41:57
San Policarpo,12.18,125.51,PH,81.4,96,36,9.19,04/01/2018,09:41:49
Cedar City,37.68,-113.06,US,51.8,32,1,9.17,04/01/2018,08:53:00
Moerai,-22.43,-151.33,PF,81.04,100,68,9.98,04/01/2018,09:41:50
New Norfolk,-42.78,147.06,AU,66.2,32,0,18.34,04/01/2018,09:30:00
Mineiros,-17.57,-52.55,BR,65.83,97,56,2.82,04/01/2018,09:41:59
Kirakira,-10.46,161.92,SB,81.76,100,64,8.75,04/01/2018,09:41:51
Sao Joao Da Barra,-21.64,-41.05,BR,79.6,100,20,24.74,04/01/2018,09:42:00
Griffith,-34.29,146.06,AU,79.42,39,0,12.66,04/01/2018,09:42:01
Tiarei,-17.53,-149.33,PF,84.2,66,40,5.82,04/01/2018,09:08:00
Qabaqcol,41.72,46.26,AZ,46.4,87,90,1.14,04/01/2018,09:00:00
Soligalich,59.08,42.29,RU,30.91,96,92,19.82,04/01/2018,09:41:54
Central Point,42.38,-122.91,US,57.2,58,90,6.93,04/01/2018,08:56:00
Kushiro,43.11,144.15,JP,39.2,80,75,14.99,04/01/2018,09:00:00
Luquillo,18.37,-65.72,PR,77,78,40,4.7,04/01/2018,08:56:00
Tanacu,46.68,27.82,RO,41,80,75,4.7,04/01/2018,09:00:00
Lumsden,50.65,-104.86,CA,12.2,78,5,3.36,04/01/2018,09:00:00
Rocha,-34.48,-54.34,UY,65.74,91,100,8.08,04/01/2018,09:41:56
Leshukonskoye,64.9,45.76,RU,28.39,65,0,3.83,04/01/2018,09:41:57
Souillac,45.6,-0.6,FR,50,57,0,8.05,04/01/2018,09:00:00
Broken Hill,-31.97,141.45,AU,79.42,38,0,14.9,04/01/2018,09:41:57
Adrar,27.87,-0.29,DZ,68,22,0,20.8,04/01/2018,09:00:00
Ginda,30.69,78.49,IN,62.77,56,24,1.92,04/01/2018,09:41:58
Santa Maria,-29.69,-53.81,BR,63.94,97,76,2.93,04/01/2018,09:42:00
Port Hedland,-20.31,118.58,AU,100.4,39,12,12.75,04/01/2018,09:30:00
Puerto Madryn,-42.77,-65.04,AR,64.57,76,0,20.6,04/01/2018,09:39:35
Erdenet,49.03,104.04,MN,24.79,31,20,9.42,04/01/2018,09:42:09
Riyadh,24.63,46.72,SA,68,32,90,3.36,04/01/2018,09:00:00
Lahat,-3.78,103.55,ID,82.66,94,48,6.4,04/01/2018,09:42:01
Wewak,-3.55,143.63,PG,80.59,88,48,4.5,04/01/2018,09:42:02
Pacifica,37.61,-122.49,US,62.6,81,75,17.22,04/01/2018,09:00:00
Oxelosund,58.67,17.1,SE,30.2,68,0,13.87,04/01/2018,09:20:00
Santa Vitoria Do Palmar,-33.52,-53.37,BR,67.36,94,0,13.78,04/01/2018,09:42:03
Troitsko-Pechorsk,62.71,56.19,RU,28.48,74,0,3.6,04/01/2018,09:42:03
Lompoc,34.64,-120.46,US,55.4,87,90,5.73,04/01/2018,08:58:00
Kovur,14.5,79.99,IN,90.31,57,8,9.42,04/01/2018,09:42:03
Nouadhibou,20.93,-17.03,MR,62.6,82,40,12.75,04/01/2018,09:00:00
Fort Nelson,58.81,-122.69,CA,23,38,5,3.36,04/01/2018,09:00:00
Krasnyy Kholm,58.06,37.11,RU,37.03,98,92,20.6,04/01/2018,09:42:13
Buala,-8.15,159.59,SB,83.11,89,92,4.94,04/01/2018,09:42:05
Jala,33.36,71.93,PK,76.18,75,48,5.17,04/01/2018,09:42:06
Elliot,-31.33,27.85,ZA,56.38,84,44,3.94,04/01/2018,09:42:06
Portland,45.52,-122.67,US,44.6,75,75,11.41,04/01/2018,08:56:00
Hami,42.84,93.51,CN,50.26,78,92,2.59,04/01/2018,09:42:15
Naklo Nad Notecia,53.14,17.6,PL,33.8,80,75,20.8,04/01/2018,09:30:00
Kysyl-Syr,63.9,122.77,RU,21.82,48,24,3.83,04/01/2018,09:42:16
Takaka,-40.86,172.81,NZ,63.58,84,76,10.2,04/01/2018,09:42:08
Chadiza,-14.06,32.43,ZM,68.71,85,68,6.17,04/01/2018,09:42:17
Aleksandrovsk-Sakhalinskiy,50.9,142.16,RU,41.8,62,44,16.8,04/01/2018,09:42:09
Kodiak,39.95,-94.76,US,15.8,100,1,3.94,04/01/2018,08:53:00
Otane,-39.89,176.62,NZ,63.31,52,0,4.05,04/01/2018,09:42:10
Namibe,-15.19,12.15,AO,75.82,100,92,5.95,04/01/2018,09:42:18
Keti Bandar,24.14,67.45,PK,79.33,95,8,10.2,04/01/2018,09:42:11
Sao Filipe,14.9,-24.5,CV,69.97,97,0,15.79,04/01/2018,09:42:11
Lixourion,38.2,20.43,GR,53.6,87,20,13.11,04/01/2018,08:50:00
Kenora,49.76,-94.48,CA,17.6,72,75,5.82,04/01/2018,09:15:00
Tessalit,20.2,1.01,ML,64.03,33,0,3.83,04/01/2018,09:42:21
Pisco,-13.71,-76.2,PE,71.6,73,0,3.36,04/01/2018,09:00:00
Marawi,8,124.29,PH,81.13,68,32,2.71,04/01/2018,09:42:13
Taltal,-25.41,-70.49,CL,51.34,99,0,1.81,04/01/2018,09:42:22
North Bend,43.41,-124.22,US,48.2,93,90,8.05,04/01/2018,09:23:00
Portel,38.31,-7.71,PT,48.2,81,0,6.93,04/01/2018,09:00:00
Ambilobe,-13.19,49.05,MG,77.35,100,20,2.93,04/01/2018,09:42:23
Torbay,47.66,-52.73,CA,35.6,81,90,25.28,04/01/2018,09:00:00
Guerrero Negro,27.97,-114.04,MX,53.14,100,68,6.29,04/01/2018,09:42:24
Teya,21.05,-89.07,MX,78.8,69,20,9.17,04/01/2018,08:48:00
Ostroleka,53.09,21.58,PL,35.86,91,92,26.75,04/01/2018,09:42:25
Panuco,22.88,-102.54,MX,64.4,27,40,14.99,04/01/2018,08:59:00
Lyuban,52.8,28,BY,37.3,100,88,25.52,04/01/2018,09:42:18
Sarkikaraagac,38.08,31.37,TR,44.23,84,8,5.39,04/01/2018,09:42:26
Xai-Xai,-25.04,33.64,MZ,77.44,96,76,5.61,04/01/2018,09:42:19
Padang,-0.92,100.36,ID,81.76,100,0,9.19,04/01/2018,09:42:28
Conakry,9.52,-13.7,GN,77.26,100,0,4.83,04/01/2018,09:42:20
Prichard,30.74,-88.08,US,59,87,1,3.36,04/01/2018,09:17:00
Kasongo-Lunda,-6.48,16.82,CD,68.89,98,92,3.04,04/01/2018,09:42:21
Ancud,-41.87,-73.83,CL,44.41,85,0,3.15,04/01/2018,09:42:21
Beroroha,-21.68,45.17,MG,80.59,64,32,4.83,04/01/2018,09:42:21
Beyneu,45.32,55.19,KZ,42.16,56,0,9.75,04/01/2018,09:42:30
Hovd,63.83,10.7,NO,30.2,79,0,9.17,04/01/2018,09:20:00
Ejido,8.55,-71.24,VE,57.91,100,92,1.14,04/01/2018,09:42:31
Tianpeng,28.88,112.34,CN,79.33,78,8,7.52,04/01/2018,09:42:32
Mount Gambier,-37.83,140.78,AU,64.03,70,88,7.18,04/01/2018,09:42:24
Sokoni,-12.89,28.78,CD,66.91,85,20,6.4,04/01/2018,09:42:32
Sao Gabriel Da Cachoeira,-0.13,-67.09,BR,75.46,94,36,2.26,04/01/2018,09:42:33
Immokalee,26.42,-81.42,US,71.6,94,90,6.93,04/01/2018,09:09:00
Valera,9.31,-70.61,VE,71.77,100,80,2.37,04/01/2018,09:42:34
Xining,36.62,101.77,CN,65.56,17,0,0.58,04/01/2018,09:42:27
Gainesville,29.65,-82.33,US,66.2,82,1,3.36,04/01/2018,08:53:00
Batagay-Alyta,67.8,130.41,RU,17.77,75,20,4.61,04/01/2018,09:42:27
Codrington,-28.95,153.24,AU,70.33,97,80,3.15,04/01/2018,09:42:28
Trinidad,-33.52,-56.9,UY,63.04,93,20,7.63,04/01/2018,09:42:28
